MotionWatch8 Data Export
Subject ID: anonymized-example-01
Raw data:,,
Date,Time,Activity
2017-07-05,18:09:00,166
2017-07-05,18:09:30,272
2017-07-05,18:10:00,85
2017-07-05,18:10:30,105
2017-07-05,18:11:00,134
2017-07-05,18:11:30,227
2017-07-05,18:12:00,13
2017-07-05,18:12:30,201
2017-07-05,18:13:00,130
2017-07-05,18:13:30,124
2017-07-05,18:14:00,107
2017-07-05,18:14:30,0
2017-07-05,18:15:00,134
2017-07-05,18:15:30,50
2017-07-05,18:16:00,75
2017-07-05,18:16:30,24
2017-07-05,18:17:00,64
2017-07-05,18:17:30,69
2017-07-05,18:18:00,104
2017-07-05,18:18:30,26
2017-07-05,18:19:00,28
2017-07-05,18:19:30,103
2017-07-05,18:20:00,19
2017-07-05,18:20:30,81
2017-07-05,18:21:00,38
2017-07-05,18:21:30,38
2017-07-05,18:22:00,97
2017-07-05,18:22:30,0
2017-07-05,18:23:00,189
2017-07-05,18:23:30,101
2017-07-05,18:24:00,21
2017-07-05,18:24:30,125
2017-07-05,18:25:00,281
2017-07-05,18:25:30,178
2017-07-05,18:26:00,170
2017-07-05,18:26:30,100
2017-07-05,18:27:00,115
2017-07-05,18:27:30,190
2017-07-05,18:28:00,63
2017-07-05,18:28:30,185
2017-07-05,18:29:00,179
2017-07-05,18:29:30,33
2017-07-05,18:30:00,117
2017-07-05,18:30:30,78
2017-07-05,18:31:00,266
2017-07-05,18:31:30,37
2017-07-05,18:32:00,10
2017-07-05,18:32:30,529
2017-07-05,18:33:00,261
2017-07-05,18:33:30,89
2017-07-05,18:34:00,73
2017-07-05,18:34:30,102
2017-07-05,18:35:00,133
2017-07-05,18:35:30,117
2017-07-05,18:36:00,164
2017-07-05,18:36:30,194
2017-07-05,18:37:00,139
2017-07-05,18:37:30,85
2017-07-05,18:38:00,144
2017-07-05,18:38:30,155
2017-07-05,18:39:00,52
2017-07-05,18:39:30,75
2017-07-05,18:40:00,53
2017-07-05,18:40:30,41
2017-07-05,18:41:00,243
2017-07-05,18:41:30,166
2017-07-05,18:42:00,186
2017-07-05,18:42:30,0
2017-07-05,18:43:00,144
2017-07-05,18:43:30,472
2017-07-05,18:44:00,438
2017-07-05,18:44:30,520
2017-07-05,18:45:00,715
2017-07-05,18:45:30,656
2017-07-05,18:46:00,388
2017-07-05,18:46:30,512
2017-07-05,18:47:00,1264
2017-07-05,18:47:30,765
2017-07-05,18:48:00,1651
2017-07-05,18:48:30,785
2017-07-05,18:49:00,1360
2017-07-05,18:49:30,2095
2017-07-05,18:50:00,1267
2017-07-05,18:50:30,827
2017-07-05,18:51:00,378
2017-07-05,18:51:30,1014
2017-07-05,18:52:00,1265
2017-07-05,18:52:30,1234
2017-07-05,18:53:00,639
2017-07-05,18:53:30,242
2017-07-05,18:54:00,482
2017-07-05,18:54:30,86
2017-07-05,18:55:00,5
2017-07-05,18:55:30,0
2017-07-05,18:56:00,0
2017-07-05,18:56:30,0
2017-07-05,18:57:00,0
2017-07-05,18:57:30,165
2017-07-05,18:58:00,17
2017-07-05,18:58:30,297
2017-07-05,18:59:00,0
2017-07-05,18:59:30,164
2017-07-05,19:00:00,479
2017-07-05,19:00:30,786
2017-07-05,19:01:00,707
2017-07-05,19:01:30,1876
2017-07-05,19:02:00,1726
2017-07-05,19:02:30,1137
2017-07-05,19:03:00,1547
2017-07-05,19:03:30,1208
2017-07-05,19:04:00,1277
2017-07-05,19:04:30,1177
2017-07-05,19:05:00,502
2017-07-05,19:05:30,299
2017-07-05,19:06:00,355
2017-07-05,19:06:30,332
2017-07-05,19:07:00,537
2017-07-05,19:07:30,11
2017-07-05,19:08:00,190
2017-07-05,19:08:30,803
2017-07-05,19:09:00,484
2017-07-05,19:09:30,300
2017-07-05,19:10:00,631
2017-07-05,19:10:30,590
2017-07-05,19:11:00,108
2017-07-05,19:11:30,23
2017-07-05,19:12:00,37
2017-07-05,19:12:30,0
2017-07-05,19:13:00,6
2017-07-05,19:13:30,44
2017-07-05,19:14:00,246
2017-07-05,19:14:30,196
2017-07-05,19:15:00,92
2017-07-05,19:15:30,76
2017-07-05,19:16:00,0
2017-07-05,19:16:30,0
2017-07-05,19:17:00,53
2017-07-05,19:17:30,229
2017-07-05,19:18:00,169
2017-07-05,19:18:30,67
2017-07-05,19:19:00,55
2017-07-05,19:19:30,0
2017-07-05,19:20:00,0
2017-07-05,19:20:30,36
2017-07-05,19:21:00,212
2017-07-05,19:21:30,148
2017-07-05,19:22:00,0
2017-07-05,19:22:30,0
2017-07-05,19:23:00,63
2017-07-05,19:23:30,96
2017-07-05,19:24:00,0
2017-07-05,19:24:30,0
2017-07-05,19:25:00,0
2017-07-05,19:25:30,29
2017-07-05,19:26:00,0
2017-07-05,19:26:30,62
2017-07-05,19:27:00,0
2017-07-05,19:27:30,53
2017-07-05,19:28:00,63
2017-07-05,19:28:30,180
2017-07-05,19:29:00,227
2017-07-05,19:29:30,7
2017-07-05,19:30:00,0
2017-07-05,19:30:30,0
2017-07-05,19:31:00,64
2017-07-05,19:31:30,650
2017-07-05,19:32:00,151
2017-07-05,19:32:30,179
2017-07-05,19:33:00,272
2017-07-05,19:33:30,121
2017-07-05,19:34:00,52
2017-07-05,19:34:30,74
2017-07-05,19:35:00,4
2017-07-05,19:35:30,46
2017-07-05,19:36:00,19
2017-07-05,19:36:30,63
2017-07-05,19:37:00,213
2017-07-05,19:37:30,630
2017-07-05,19:38:00,654
2017-07-05,19:38:30,1042
2017-07-05,19:39:00,771
2017-07-05,19:39:30,501
2017-07-05,19:40:00,444
2017-07-05,19:40:30,499
2017-07-05,19:41:00,589
2017-07-05,19:41:30,563
2017-07-05,19:42:00,505
2017-07-05,19:42:30,185
2017-07-05,19:43:00,124
2017-07-05,19:43:30,50
2017-07-05,19:44:00,80
2017-07-05,19:44:30,13
2017-07-05,19:45:00,67
2017-07-05,19:45:30,140
2017-07-05,19:46:00,195
2017-07-05,19:46:30,48
2017-07-05,19:47:00,75
2017-07-05,19:47:30,56
2017-07-05,19:48:00,137
2017-07-05,19:48:30,124
2017-07-05,19:49:00,88
2017-07-05,19:49:30,105
2017-07-05,19:50:00,81
2017-07-05,19:50:30,26
2017-07-05,19:51:00,115
2017-07-05,19:51:30,356
2017-07-05,19:52:00,128
2017-07-05,19:52:30,354
2017-07-05,19:53:00,137
2017-07-05,19:53:30,100
2017-07-05,19:54:00,43
2017-07-05,19:54:30,17
2017-07-05,19:55:00,49
2017-07-05,19:55:30,29
2017-07-05,19:56:00,28
2017-07-05,19:56:30,36
2017-07-05,19:57:00,21
2017-07-05,19:57:30,15
2017-07-05,19:58:00,51
2017-07-05,19:58:30,0
2017-07-05,19:59:00,28
2017-07-05,19:59:30,12
2017-07-05,20:00:00,0
2017-07-05,20:00:30,33
2017-07-05,20:01:00,5
2017-07-05,20:01:30,10
2017-07-05,20:02:00,11
2017-07-05,20:02:30,85
2017-07-05,20:03:00,60
2017-07-05,20:03:30,8
2017-07-05,20:04:00,10
2017-07-05,20:04:30,45
2017-07-05,20:05:00,28
2017-07-05,20:05:30,16
2017-07-05,20:06:00,33
2017-07-05,20:06:30,4
2017-07-05,20:07:00,22
2017-07-05,20:07:30,70
2017-07-05,20:08:00,32
2017-07-05,20:08:30,32
2017-07-05,20:09:00,15
2017-07-05,20:09:30,0
2017-07-05,20:10:00,0
2017-07-05,20:10:30,36
2017-07-05,20:11:00,0
2017-07-05,20:11:30,41
2017-07-05,20:12:00,8
2017-07-05,20:12:30,9
2017-07-05,20:13:00,35
2017-07-05,20:13:30,0
2017-07-05,20:14:00,339
2017-07-05,20:14:30,14
2017-07-05,20:15:00,0
2017-07-05,20:15:30,22
2017-07-05,20:16:00,14
2017-07-05,20:16:30,0
2017-07-05,20:17:00,0
2017-07-05,20:17:30,0
2017-07-05,20:18:00,22
2017-07-05,20:18:30,0
2017-07-05,20:19:00,0
2017-07-05,20:19:30,0
2017-07-05,20:20:00,0
2017-07-05,20:20:30,0
2017-07-05,20:21:00,4
2017-07-05,20:21:30,0
2017-07-05,20:22:00,0
2017-07-05,20:22:30,0
2017-07-05,20:23:00,0
2017-07-05,20:23:30,0
2017-07-05,20:24:00,5
2017-07-05,20:24:30,10
2017-07-05,20:25:00,0
2017-07-05,20:25:30,0
2017-07-05,20:26:00,0
2017-07-05,20:26:30,0
2017-07-05,20:27:00,0
2017-07-05,20:27:30,0
2017-07-05,20:28:00,26
2017-07-05,20:28:30,0
2017-07-05,20:29:00,7
2017-07-05,20:29:30,211
2017-07-05,20:30:00,21
2017-07-05,20:30:30,261
2017-07-05,20:31:00,186
2017-07-05,20:31:30,72
2017-07-05,20:32:00,82
2017-07-05,20:32:30,26
2017-07-05,20:33:00,6
2017-07-05,20:33:30,229
2017-07-05,20:34:00,211
2017-07-05,20:34:30,225
2017-07-05,20:35:00,0
2017-07-05,20:35:30,0
2017-07-05,20:36:00,0
2017-07-05,20:36:30,20
2017-07-05,20:37:00,0
2017-07-05,20:37:30,69
2017-07-05,20:38:00,182
2017-07-05,20:38:30,27
2017-07-05,20:39:00,106
2017-07-05,20:39:30,67
2017-07-05,20:40:00,32
2017-07-05,20:40:30,102
2017-07-05,20:41:00,0
2017-07-05,20:41:30,0
2017-07-05,20:42:00,0
2017-07-05,20:42:30,310
2017-07-05,20:43:00,170
2017-07-05,20:43:30,13
2017-07-05,20:44:00,4
2017-07-05,20:44:30,0
2017-07-05,20:45:00,0
2017-07-05,20:45:30,4
2017-07-05,20:46:00,0
2017-07-05,20:46:30,27
2017-07-05,20:47:00,17
2017-07-05,20:47:30,49
2017-07-05,20:48:00,251
2017-07-05,20:48:30,68
2017-07-05,20:49:00,0
2017-07-05,20:49:30,0
2017-07-05,20:50:00,0
2017-07-05,20:50:30,19
2017-07-05,20:51:00,0
2017-07-05,20:51:30,0
2017-07-05,20:52:00,11
2017-07-05,20:52:30,0
2017-07-05,20:53:00,0
2017-07-05,20:53:30,6
2017-07-05,20:54:00,0
2017-07-05,20:54:30,0
2017-07-05,20:55:00,21
2017-07-05,20:55:30,31
2017-07-05,20:56:00,12
2017-07-05,20:56:30,0
2017-07-05,20:57:00,8
2017-07-05,20:57:30,31
2017-07-05,20:58:00,172
2017-07-05,20:58:30,65
2017-07-05,20:59:00,0
2017-07-05,20:59:30,0
2017-07-05,21:00:00,9
2017-07-05,21:00:30,67
2017-07-05,21:01:00,59
2017-07-05,21:01:30,0
2017-07-05,21:02:00,23
2017-07-05,21:02:30,48
2017-07-05,21:03:00,0
2017-07-05,21:03:30,0
2017-07-05,21:04:00,11
2017-07-05,21:04:30,0
2017-07-05,21:05:00,0
2017-07-05,21:05:30,54
2017-07-05,21:06:00,289
2017-07-05,21:06:30,100
2017-07-05,21:07:00,94
2017-07-05,21:07:30,30
2017-07-05,21:08:00,33
2017-07-05,21:08:30,55
2017-07-05,21:09:00,26
2017-07-05,21:09:30,38
2017-07-05,21:10:00,36
2017-07-05,21:10:30,30
2017-07-05,21:11:00,0
2017-07-05,21:11:30,27
2017-07-05,21:12:00,0
2017-07-05,21:12:30,4
2017-07-05,21:13:00,33
2017-07-05,21:13:30,34
2017-07-05,21:14:00,45
2017-07-05,21:14:30,130
2017-07-05,21:15:00,64
2017-07-05,21:15:30,0
2017-07-05,21:16:00,146
2017-07-05,21:16:30,93
2017-07-05,21:17:00,253
2017-07-05,21:17:30,425
2017-07-05,21:18:00,197
2017-07-05,21:18:30,193
2017-07-05,21:19:00,495
2017-07-05,21:19:30,155
2017-07-05,21:20:00,0
2017-07-05,21:20:30,99
2017-07-05,21:21:00,287
2017-07-05,21:21:30,197
2017-07-05,21:22:00,134
2017-07-05,21:22:30,30
2017-07-05,21:23:00,21
2017-07-05,21:23:30,83
2017-07-05,21:24:00,78
2017-07-05,21:24:30,31
2017-07-05,21:25:00,10
2017-07-05,21:25:30,0
2017-07-05,21:26:00,0
2017-07-05,21:26:30,0
2017-07-05,21:27:00,0
2017-07-05,21:27:30,0
2017-07-05,21:28:00,20
2017-07-05,21:28:30,0
2017-07-05,21:29:00,197
2017-07-05,21:29:30,0
2017-07-05,21:30:00,56
2017-07-05,21:30:30,0
